Participant,Run,View,Metablock1,Metablock2,Metablock3,Metablock4,Metablock5,Metablock6,Touch_TrialPermIndex_1,Touch_TrialPermIndex_2,Touch_TrialPermIndex_3,Touch_TrialPermIndex_4,Touch_TrialPermIndex_5,Touch_TrialPermIndex_6,Precision_TrialPermIndex_1,Precision_TrialPermIndex_2,Precision_TrialPermIndex_3,Precision_TrialPermIndex_4,Precision_TrialPermIndex_5,Precision_TrialPermIndex_6,WholeHand_TrialPermIndex_1,WholeHand_TrialPermIndex_2,WholeHand_TrialPermIndex_3,WholeHand_TrialPermIndex_4,WholeHand_TrialPermIndex_5,WholeHand_TrialPermIndex_6
3,6,Mirror,PTW,WTP,PWT,WPT,TWP,TPW,1,4,2,3,15,8,5,14,12,18,11,13,9,16,6,17,7,10
4,1,Mirror,PWT,WTP,WPT,PTW,TWP,TPW,4,17,15,12,8,14,7,5,3,18,9,10,2,16,6,1,13,11
4,2,Mirror,WPT,PWT,TWP,WTP,TPW,PTW,2,16,11,9,3,10,13,6,1,17,12,15,5,8,7,14,4,18
4,3,Mirror,TWP,WPT,TPW,PWT,PTW,WTP,1,6,13,7,18,5,14,8,2,4,11,16,17,15,9,12,10,3
4,4,Direct,PTW,TPW,WTP,TWP,PWT,WPT,1,8,9,13,2,4,3,6,15,11,10,14,18,17,12,16,5,7
4,5,Direct,WTP,PTW,PWT,TPW,WPT,TWP,11,7,18,12,14,17,5,16,2,4,8,9,3,13,1,6,15,10
4,6,Direct,TPW,TWP,PTW,WPT,WTP,PWT,6,10,15,3,16,5,17,7,13,12,18,1,4,11,8,14,2,9
5,1,Direct,TWP,PTW,TPW,WTP,PWT,WPT,7,9,2,5,18,6,16,15,17,3,14,11,4,8,1,12,10,13
5,2,Direct,PWT,TPW,TWP,WPT,WTP,PTW,4,14,12,16,3,13,1,8,18,10,2,6,7,5,9,15,11,17
5,3,Direct,WTP,TWP,PWT,PTW,WPT,TPW,11,8,10,15,1,17,7,12,5,4,9,13,16,18,2,14,6,3
5,4,Mirror,WPT,PWT,WTP,TPW,PTW,TWP,5,11,3,9,4,18,10,17,13,8,16,2,12,14,6,1,7,15
5,5,Mirror,TPW,WPT,PTW,PWT,TWP,WTP,15,6,8,7,14,17,3,12,4,1,5,18,16,9,13,11,2,10
5,6,Mirror,PTW,WTP,WPT,TWP,TPW,PWT,12,1,2,10,13,16,11,7,15,6,9,14,4,3,18,5,17,8
6,1,Mirror,WTP,PWT,TWP,TPW,PTW,WPT,17,11,18,1,13,9,7,4,6,5,3,15,12,2,16,10,14,8
6,2,Mirror,TWP,WTP,PTW,PWT,WPT,TPW,6,16,2,15,14,5,8,12,9,17,10,11,18,13,4,7,1,3
6,3,Mirror,PTW,TWP,WPT,WTP,TPW,PWT,7,4,3,12,8,10,14,16,1,18,13,2,17,6,11,9,15,5
6,4,Direct,TPW,WPT,PWT,PTW,WTP,TWP,10,13,11,4,7,5,17,18,1,14,6,12,3,15,8,2,16,9
6,5,Direct,WPT,PTW,TPW,TWP,PWT,WTP,14,3,18,15,16,2,11,5,9,10,8,7,13,17,6,1,4,12
6,6,Direct,PWT,TPW,WTP,WPT,TWP,PTW,6,1,17,8,9,12,16,13,15,2,4,3,14,18,11,7,10,5
7,1,Direct,TPW,PWT,TWP,WPT,WTP,PTW,15,2,1,3,6,10,18,5,13,11,8,7,9,4,16,14,12,17
7,2,Direct,PWT,WPT,TPW,PTW,TWP,WTP,5,18,16,12,9,8,6,17,15,3,4,14,13,10,7,2,11,1
7,3,Direct,WTP,TWP,PTW,TPW,WPT,PWT,13,17,14,11,4,7,16,10,2,12,1,9,18,15,8,3,5,6
7,4,Mirror,TWP,TPW,WTP,PWT,PTW,WPT,6,14,13,8,7,11,10,12,15,4,17,2,9,18,1,16,3,5
7,5,Mirror,WPT,PTW,PWT,WTP,TPW,TWP,12,3,18,10,2,16,1,9,5,11,7,13,15,8,14,17,6,4
7,6,Mirror,PTW,WTP,WPT,TWP,PWT,TPW,5,9,17,15,1,4,18,3,16,14,6,8,2,13,7,11,12,10
8,1,Mirror,TWP,PTW,WPT,PWT,TPW,WTP,5,6,2,16,10,12,14,15,8,3,17,1,18,9,13,7,4,11
8,2,Mirror,PWT,TWP,TPW,PTW,WTP,WPT,11,18,3,9,7,15,13,5,4,2,6,10,14,17,1,16,12,8
8,3,Mirror,WTP,TPW,PWT,WPT,PTW,TWP,17,8,13,14,4,1,7,11,18,12,16,9,3,10,5,2,15,6
8,4,Direct,TPW,WPT,TWP,WTP,PWT,PTW,18,3,10,12,5,9,8,15,13,7,14,6,11,16,1,17,4,2
8,5,Direct,PTW,PWT,WTP,TWP,WPT,TPW,4,11,16,13,14,6,12,18,2,10,17,1,5,3,15,7,9,8
8,6,Direct,WPT,WTP,PTW,TPW,TWP,PWT,17,1,7,15,8,2,9,5,4,3,11,16,6,13,18,12,10,14
9,1,Direct,WTP,PTW,PWT,TWP,TPW,WPT,16,3,12,6,15,7,13,4,9,17,8,2,11,14,5,10,18,1
9,2,Direct,PWT,WTP,TPW,PTW,WPT,TWP,13,10,17,18,1,5,12,15,3,7,11,14,6,9,4,8,16,2
9,3,Direct,TPW,PWT,WPT,WTP,TWP,PTW,2,4,9,8,14,11,10,5,16,1,6,18,12,15,3,7,13,17
9,4,Mirror,TWP,WPT,PTW,TPW,WTP,PWT,12,6,7,11,16,3,5,15,8,1,4,9,13,17,18,14,2,10
9,5,Mirror,WPT,TPW,TWP,PWT,PTW,WTP,5,9,4,10,2,13,6,18,12,17,14,7,15,11,3,8,16,1
9,6,Mirror,PTW,TWP,WTP,WPT,PWT,TPW,1,14,18,17,15,8,13,10,16,11,3,2,12,7,6,9,5,4
10,1,Mirror,PWT,TWP,TPW,PTW,WTP,WPT,9,13,3,4,11,15,8,17,12,5,2,7,16,18,14,1,6,10
10,2,Mirror,WTP,TPW,WPT,PWT,PTW,TWP,10,7,2,16,1,18,14,11,6,13,4,15,12,3,8,9,5,17
10,3,Mirror,TPW,PWT,WTP,TWP,WPT,PTW,5,14,6,12,8,17,9,1,3,16,18,10,4,7,15,2,13,11
10,4,Direct,PTW,WPT,TWP,WTP,PWT,TPW,12,4,10,15,2,11,1,3,5,13,18,8,6,17,14,7,16,9
10,5,Direct,WPT,WTP,PTW,TPW,TWP,PWT,6,5,13,17,7,14,4,9,15,2,11,16,1,3,10,12,8,18
10,6,Direct,TWP,PTW,PWT,WPT,TPW,WTP,1,8,16,3,18,9,6,10,14,12,7,17,2,15,4,5,11,13
11,1,Direct,WPT,WTP,TPW,PTW,PWT,TWP,7,6,18,11,13,9,12,10,2,5,8,1,14,4,17,15,3,16
11,2,Direct,TPW,WPT,PWT,WTP,TWP,PTW,14,1,3,15,16,10,18,6,13,17,4,7,9,5,11,2,8,12
11,3,Direct,PWT,TPW,TWP,WPT,PTW,WTP,17,12,8,2,4,5,14,16,11,15,3,9,6,1,10,13,18,7
11,4,Mirror,PTW,TWP,WTP,PWT,WPT,TPW,12,13,18,9,16,6,10,17,8,3,7,4,2,14,1,11,15,5
11,5,Mirror,WTP,PTW,WPT,TWP,TPW,PWT,3,8,15,14,11,1,6,18,2,12,16,5,10,9,4,17,7,13
11,6,Mirror,TWP,PWT,PTW,TPW,WTP,WPT,10,5,7,2,4,17,11,14,15,1,13,9,18,12,16,6,8,3
12,1,Mirror,PTW,WPT,WTP,PWT,TWP,TPW,11,13,4,1,15,7,8,12,14,3,17,6,10,18,9,5,16,2
12,2,Mirror,TWP,WTP,TPW,PTW,PWT,WPT,9,16,18,8,2,10,4,1,13,7,15,5,6,11,3,14,17,12
12,3,Mirror,WTP,PTW,TWP,WPT,TPW,PWT,3,12,14,17,5,6,10,9,2,18,16,11,4,8,15,13,7,1
12,4,Direct,TPW,TWP,PWT,WTP,WPT,PTW,5,14,13,11,17,4,7,9,6,10,15,2,8,18,3,1,16,12
12,5,Direct,WPT,PWT,PTW,TPW,WTP,TWP,1,16,8,18,7,2,4,11,14,3,12,17,10,5,6,15,13,9
12,6,Direct,PWT,TPW,WPT,TWP,PTW,WTP,12,10,15,3,6,9,18,13,1,16,8,5,4,7,14,17,11,2
13,1,Direct,PWT,WTP,WPT,PTW,TWP,TPW,13,4,6,15,18,3,7,1,10,5,14,12,2,8,17,11,16,9
13,2,Direct,TWP,WPT,PWT,TPW,PTW,WTP,14,7,1,10,8,2,16,9,13,17,18,11,4,3,5,6,15,12
13,3,Direct,WPT,TPW,WTP,TWP,PWT,PTW,9,5,12,16,17,11,3,8,4,6,15,2,13,7,18,14,10,1
13,4,Mirror,PTW,PWT,TWP,WTP,TPW,WPT,3,7,8,6,11,13,4,5,2,10,14,15,18,17,9,16,1,12
13,5,Mirror,TPW,TWP,PTW,WPT,WTP,PWT,10,18,16,2,9,4,8,13,1,6,17,12,11,14,5,15,7,3
13,6,Mirror,WTP,PTW,TPW,PWT,WPT,TWP,1,17,15,14,12,5,16,3,11,7,18,9,4,10,6,13,2,8
14,1,Mirror,WPT,PWT,WTP,PTW,TWP,TPW,3,6,17,12,18,10,1,8,2,7,11,14,5,13,9,15,4,16
14,2,Mirror,TWP,WTP,WPT,TPW,PTW,PWT,14,5,11,9,16,15,10,4,13,17,12,18,7,6,3,1,8,2
14,3,Mirror,PTW,WPT,TWP,PWT,TPW,WTP,13,8,4,1,2,7,9,16,6,5,3,15,10,18,14,11,17,12
14,4,Direct,PWT,PTW,TPW,WPT,WTP,TWP,13,11,5,14,4,16,1,3,10,15,8,18,17,7,12,6,9,2
14,5,Direct,TPW,TWP,PTW,WTP,PWT,WPT,2,18,15,6,9,7,5,12,11,4,14,17,13,8,3,1,16,10
14,6,Direct,WTP,TPW,PWT,TWP,WPT,PTW,3,8,17,1,10,12,13,9,6,16,7,2,4,18,11,14,15,5
15,1,Direct,PTW,TPW,TWP,WTP,PWT,WPT,17,15,9,14,16,12,7,8,13,6,2,10,5,3,1,4,18,11
15,2,Direct,TWP,PTW,PWT,TPW,WPT,WTP,11,2,1,10,5,4,3,9,12,14,16,18,15,17,7,13,6,8
15,3,Direct,WPT,PWT,WTP,TWP,TPW,PTW,3,7,18,13,6,8,11,1,5,17,4,15,16,14,2,10,12,9
15,4,Mirror,TPW,WTP,PTW,WPT,TWP,PWT,2,15,6,11,14,16,5,10,4,18,13,7,17,9,12,1,3,8
15,5,Mirror,PWT,TWP,WPT,PTW,WTP,TPW,5,8,12,9,13,3,2,11,14,15,17,1,7,6,10,16,18,4
15,6,Mirror,WTP,WPT,TPW,PWT,PTW,TWP,4,17,18,1,7,10,12,6,9,3,16,8,14,2,11,5,15,13
16,1,Mirror,TPW,WTP,PWT,WPT,TWP,PTW,8,4,9,11,18,5,2,6,7,1,12,10,17,15,3,16,13,14
16,2,Mirror,PTW,TWP,WPT,PWT,WTP,TPW,12,1,17,15,14,6,5,18,13,3,8,16,9,4,11,2,7,10
16,3,Mirror,WPT,PTW,WTP,TWP,TPW,PWT,16,10,2,13,7,3,4,11,17,15,9,14,8,18,1,5,6,12
16,4,Direct,WTP,WPT,TPW,PTW,PWT,TWP,8,10,12,16,11,6,2,14,17,1,7,18,9,5,3,13,15,4
16,5,Direct,TWP,PWT,PTW,TPW,WPT,WTP,18,3,13,4,1,5,9,11,8,15,16,12,14,6,2,7,10,17
16,6,Direct,PWT,TPW,TWP,WTP,PTW,WPT,14,17,15,2,7,9,13,4,6,10,5,3,8,18,1,11,12,16
17,1,Direct,WTP,WPT,PTW,PWT,TWP,TPW,12,17,14,7,5,8,1,6,9,16,18,15,3,11,10,2,13,4
17,2,Direct,TWP,PTW,TPW,WTP,PWT,WPT,13,2,3,15,10,9,14,7,17,12,11,4,6,16,18,8,5,1
17,3,Direct,PWT,TPW,WPT,TWP,WTP,PTW,6,11,16,4,18,1,13,8,3,5,10,2,15,14,9,7,12,17
17,4,Mirror,PTW,WTP,TWP,WPT,TPW,PWT,15,13,7,3,17,11,18,2,5,1,12,6,16,9,10,4,14,8
17,5,Mirror,TPW,TWP,PWT,PTW,WPT,WTP,4,16,14,1,12,18,10,13,15,11,8,9,6,17,2,7,5,3
17,6,Mirror,WPT,PWT,WTP,TPW,PTW,TWP,9,10,5,6,8,2,17,16,7,4,14,3,15,1,13,12,11,18
18,1,Mirror,TWP,WTP,PWT,PTW,WPT,TPW,9,14,18,1,15,17,16,13,3,11,4,6,7,5,8,10,2,12
18,2,Mirror,PTW,TWP,WPT,WTP,TPW,PWT,8,3,5,6,2,13,9,12,10,7,1,18,16,11,4,14,15,17
18,3,Mirror,WPT,PWT,TWP,TPW,PTW,WTP,4,11,16,10,12,7,17,2,14,8,15,5,18,13,6,1,3,9
18,4,Direct,WTP,PTW,TPW,TWP,PWT,WPT,11,10,1,13,16,18,7,5,8,4,3,12,15,14,17,2,9,6
18,5,Direct,PWT,TPW,WTP,WPT,TWP,PTW,8,7,3,2,9,14,6,13,15,18,17,16,12,10,1,11,4,5
18,6,Direct,TPW,WPT,PTW,PWT,WTP,TWP,6,5,15,4,17,12,11,10,9,2,1,14,16,7,18,13,8,3
19,1,Direct,TWP,WPT,WTP,PWT,PTW,TPW,15,12,1,6,18,16,5,17,8,3,7,4,2,11,14,10,13,9
19,2,Direct,PTW,WTP,TPW,TWP,PWT,WPT,2,4,7,14,17,3,11,10,13,15,9,1,12,5,18,8,6,16
19,3,Direct,WPT,PWT,TWP,TPW,WTP,PTW,5,8,10,13,11,9,6,14,18,2,16,12,15,3,1,7,4,17
19,4,Mirror,WTP,TWP,PTW,WPT,TPW,PWT,18,5,9,2,16,7,15,4,8,13,17,11,6,1,10,12,14,3
19,5,Mirror,TPW,PTW,PWT,WTP,WPT,TWP,1,3,8,12,13,10,18,14,2,6,9,7,16,11,17,4,5,15
19,6,Mirror,PWT,TPW,WPT,PTW,TWP,WTP,4,11,6,17,14,15,16,1,5,10,12,3,8,13,18,2,7,9
20,1,Mirror,WPT,WTP,TWP,PTW,TPW,PWT,6,8,14,17,9,13,2,3,10,15,4,16,5,1,12,7,18,11
20,2,Mirror,PTW,PWT,WTP,TPW,WPT,TWP,18,11,5,1,10,2,14,12,7,13,8,17,15,3,9,4,16,6
20,3,Mirror,TPW,TWP,PWT,WPT,PTW,WTP,12,3,16,7,15,4,6,11,18,5,9,1,2,13,8,17,10,14
20,4,Direct,TWP,WPT,TPW,WTP,PWT,PTW,9,18,3,13,11,15,8,17,6,16,14,4,5,1,7,2,10,12
20,5,Direct,PWT,TPW,PTW,TWP,WTP,WPT,12,6,10,16,14,7,5,9,1,11,13,2,17,15,18,4,3,8
20,6,Direct,WTP,PTW,WPT,PWT,TWP,TPW,4,5,17,8,1,2,15,12,7,10,18,3,16,9,13,14,11,6
21,1,Direct,PTW,WTP,TPW,PWT,TWP,WPT,16,14,6,8,1,4,13,11,17,9,15,7,10,2,12,3,18,5
21,2,Direct,WPT,TWP,PWT,TPW,WTP,PTW,5,15,2,10,18,3,6,1,16,4,8,12,13,9,7,14,17,11
21,3,Direct,TWP,TPW,PTW,WPT,PWT,WTP,9,11,13,7,12,17,10,18,2,3,14,5,16,6,4,1,15,8
21,4,Mirror,TPW,WPT,WTP,TWP,PTW,PWT,17,3,1,10,5,12,13,8,14,4,16,2,7,18,15,11,9,6
21,5,Mirror,WTP,PWT,WPT,PTW,TPW,TWP,18,6,2,13,8,11,9,7,10,17,3,15,14,1,16,5,4,12
21,6,Mirror,PWT,PTW,TWP,WTP,WPT,TPW,7,15,16,4,9,14,12,11,6,18,5,1,10,3,8,2,17,13
22,1,Mirror,WTP,TPW,PTW,TWP,PWT,WPT,13,12,4,17,14,5,1,18,11,8,7,10,6,2,9,3,16,15
22,2,Mirror,TPW,TWP,WPT,WTP,PTW,PWT,7,15,6,9,2,3,13,4,17,16,5,12,18,8,11,10,1,14
22,3,Mirror,PTW,WPT,TPW,PWT,WTP,TWP,10,11,18,16,1,8,9,6,14,15,3,2,17,7,4,5,13,12
22,4,Direct,WPT,PWT,TWP,PTW,TPW,WTP,13,14,1,18,3,10,4,9,2,16,15,11,5,6,7,17,8,12
22,5,Direct,PWT,PTW,WTP,WPT,TWP,TPW,6,5,7,8,2,17,12,13,10,1,14,18,15,9,3,11,16,4
22,6,Direct,TWP,WTP,PWT,TPW,WPT,PTW,16,11,12,4,9,15,3,5,17,6,7,8,18,1,13,2,10,14
23,1,Direct,PWT,WTP,TPW,TWP,WPT,PTW,3,8,13,7,17,9,18,15,2,1,5,12,14,11,10,16,6,4
23,2,Direct,WTP,TWP,PWT,PTW,TPW,WPT,12,6,14,18,5,10,7,11,17,4,16,9,2,8,1,15,3,13
23,3,Direct,TPW,PWT,WPT,WTP,PTW,TWP,1,4,2,15,16,11,8,13,10,14,3,6,18,12,7,9,17,5
23,4,Mirror,WPT,TPW,PTW,PWT,TWP,WTP,11,2,15,16,13,9,10,6,5,3,17,18,8,7,14,1,4,12
23,5,Mirror,TWP,PTW,WTP,WPT,PWT,TPW,1,8,18,14,7,10,15,4,9,13,12,2,17,3,11,6,5,16
23,6,Mirror,PTW,WPT,TWP,TPW,WTP,PWT,6,12,17,3,4,5,7,11,16,1,14,8,10,13,15,2,9,18
24,1,Mirror,TPW,TWP,WTP,PTW,PWT,WPT,2,12,13,15,9,3,11,14,5,18,7,17,8,10,6,4,16,1
24,2,Mirror,WTP,TPW,PWT,TWP,WPT,PTW,14,1,4,8,5,11,2,10,9,16,3,6,18,15,17,7,13,12
24,3,Mirror,PWT,WTP,WPT,TPW,PTW,TWP,7,17,18,6,16,10,8,15,1,13,4,12,14,5,3,2,9,11
24,4,Direct,WPT,PWT,PTW,WTP,TWP,TPW,18,8,5,16,4,17,7,2,3,11,1,9,14,13,15,6,12,10
24,5,Direct,PTW,WPT,TWP,PWT,TPW,WTP,1,9,14,15,13,7,6,12,16,10,8,18,4,3,2,5,11,17
24,6,Direct,TWP,PTW,TPW,WPT,WTP,PWT,12,10,2,11,6,3,5,13,4,14,17,15,16,9,8,7,18,1
